"""'Job""","""'Workflow""","""'Total minutes""","""'Job runs""","""'Runner type""","""'Runner labels"""
"""'Destroy""","""'.github/workflows/azure-preview-env-destroy.yml""",2474,2356,"""'hosted""","""'ubuntu-latest"""
"""'pagelist""","""'.github/workflows/test.yml""",2453,1250,"""'hosted""","""'ubuntu-latest"""
"""'automated-pipelines""","""'.github/workflows/test.yml""",2441,828,"""'hosted""","""'ubuntu-latest"""
"""'search""","""'.github/workflows/test.yml""",2408,827,"""'hosted""","""'ubuntu-latest"""
"""'build""","""'.github/workflows/codeql.yml""",2405,524,"""'hosted""","""'ubuntu-latest"""
"""'purge-old-workflow-runs""","""'.github/workflows/purge-old-workflow-runs.yml""",2201,1743,"""'hosted""","""'ubuntu-latest"""
"""'triage-issue-comments""","""'.github/workflows/triage-issue-comments.yml""",2148,2141,"""'hosted""","""'ubuntu-latest"""
"""'triage""","""'.github/workflows/triage-unallowed-contributions.yml""",2140,2126,"""'hosted""","""'ubuntu-latest"""
"""'check-team-membership""","""'.github/workflows/confirm-internal-staff-work-in-docs.yml""",2000,1995,"""'hosted""","""'ubuntu-latest"""
"""'redirects""","""'.github/workflows/test.yml""",1981,827,"""'hosted""","""'ubuntu-latest"""
"""'fixtures""","""'.github/workflows/test.yml""",1710,827,"""'hosted""","""'ubuntu-latest"""
"""'frame""","""'.github/workflows/test.yml""",1689,827,"""'hosted""","""'ubuntu-latest"""
"""'rest""","""'.github/workflows/test.yml""",1676,827,"""'hosted""","""'ubuntu-latest"""
"""'content-linter""","""'.github/workflows/test.yml""",1674,828,"""'hosted""","""'ubuntu-latest"""
"""'local-dev""","""'.github/workflows/local-dev.yml""",1673,833,"""'hosted""","""'ubuntu-latest"""
"""'release-notes""","""'.github/workflows/test.yml""",1668,827,"""'hosted""","""'ubuntu-latest"""
"""'audit-logs""","""'.github/workflows/test.yml""",1663,828,"""'hosted""","""'ubuntu-latest"""
"""'graphql""","""'.github/workflows/test.yml""",1656,827,"""'hosted""","""'ubuntu-latest"""
"""'content-render""","""'.github/workflows/test.yml""",1652,828,"""'hosted""","""'ubuntu-latest"""
"""'webhooks""","""'.github/workflows/test.yml""",1652,827,"""'hosted""","""'ubuntu-latest"""
"""'github-apps""","""'.github/workflows/test.yml""",1646,827,"""'hosted""","""'ubuntu-latest"""
"""'archives""","""'.github/workflows/test.yml""",1646,828,"""'hosted""","""'ubuntu-latest"""
"""'data-directory""","""'.github/workflows/test.yml""",1644,828,"""'hosted""","""'ubuntu-latest"""
"""'assets""","""'.github/workflows/test.yml""",1644,828,"""'hosted""","""'ubuntu-latest"""
